fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.24778761061946908,0.3972602739726027,0.0,0.06849315068493149,0.10684474123539232,0.14084507042253522,0.0989399293286219,0.5675477239353917,0.6062992125984251,0.13772455089820362,0.15384615384615385,5
0.2831858407079646,0.5205479452054794,0.0,0.11643835616438357,0.14357262103505844,0.3380281690140845,0.21554770318021202,0.49412628487518584,0.3622047244094489,0.20958083832335334,0.21538461538461545,5
0.2831858407079646,0.4383561643835616,0.04,0.0958904109589041,0.1335559265442404,0.1971830985915493,0.16961130742049468,0.5088105726872254,0.4094488188976376,0.19161676646706588,0.21538461538461545,5
0.5840707964601769,0.10958904109589043,0.56,0.06849315068493149,0.10517529215358931,0.22535211267605634,0.19081272084805653,0.5822320117474312,0.3307086614173229,0.1497005988023952,0.21538461538461545,6
0.24778761061946908,0.3972602739726027,0.0,0.06849315068493149,0.10684474123539232,0.14084507042253522,0.0989399293286219,0.5675477239353917,0.6062992125984251,0.13772455089820362,0.15384615384615385,5
0.24778761061946908,0.3698630136986301,0.0,0.06164383561643835,0.10517529215358931,0.16901408450704225,0.12014134275618374,0.5675477239353917,0.6062992125984251,0.13772455089820362,0.15384615384615385,5
0.29203539823008856,0.3287671232876712,0.06,0.04794520547945206,0.0951585976627713,0.1971830985915493,0.1872791519434629,0.4647577092510986,0.4409448818897636,0.07784431137724553,0.15384615384615385,5
0.23893805309734514,0.363013698630137,0.0,0.020547945205479447,0.08848080133555927,0.1971830985915493,0.053003533568904596,0.33259911894273464,0.5118110236220473,0.0838323353293413,0.2461538461538461,7
0.2831858407079646,0.3150684931506849,0.02,0.07534246575342465,0.1018363939899833,0.11267605633802817,0.04240282685512367,0.49412628487518584,0.48818897637795267,0.14371257485029937,0.16923076923076918,7
0.25663716814159293,0.2602739726027397,0.36,0.35616438356164376,0.09849749582637729,0.22535211267605634,0.33922261484098937,0.5675477239353917,0.48031496062992135,0.28143712574850305,0.32307692307692304,5
0.1858407079646018,0.3150684931506849,0.08,0.06164383561643835,0.14190317195325544,0.1971830985915493,0.20848056537102475,0.4280469897209998,0.4251968503937006,0.125748502994012,0.12307692307692292,5
